ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"81.162.195.35","elite","AS34955","CZ","Martin Vicenik","22","VicenikRoute","4153","socks4","1","93","3812","4109","2025-11-24T03:55:20.782Z","3106"
"223.215.171.51","elite","AS4134","CN","Chinanet","238","Chinanet AH","2829","socks4","1","32","3450","10886","2025-11-24T03:55:20.782Z","5071"
"147.161.188.165","elite","AS62044","SE","Zscaler STO3","29","Zscaler, Inc.","10801","socks4","65","99","4222","4278","2025-11-24T03:55:20.782Z","4595"
"47.113.221.120","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","253","Aliyun Computing Co., LTD","3127","socks4","1","97","3982","4095","2025-11-24T03:55:20.893Z","5176"
"104.207.45.12","elite","AS200373","US","3xK Tech GmbH","95","3xK Tech GmbH","3128","socks4","1","69","1944","2804","2025-11-24T03:55:20.891Z","5080"
"212.5.143.42","elite","AS8866","BG","Vivacom Bulgaria EAD","32","BTC Broadband","3366","socks4","1","100","10872","10891","2025-11-24T03:54:53.379Z","4915"
"27.76.233.247","elite","AS7552","VN","Newass2011xDSLHCMC","259","N/A","5308","socks5","61","85","3567","4175","2025-11-24T03:54:53.096Z","1016"
"38.127.179.87","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","11537","socks5","1","100","10962","10983","2025-11-24T03:54:53.390Z","4389"
"15.235.141.35","elite","AS16276","SG","OVH SAS","229","OVH Singapore PTE. LTD","51921","socks4","1","97","10521","10893","2025-11-24T03:54:53.195Z","4603"
"167.99.231.233","elite","AS14061","US","DigitalOcean, LLC","86","Digital Ocean","47635","socks5","1","17","1852","10880","2025-11-24T03:54:53.094Z","3387"
"45.63.39.16","elite","AS20473","US","The Constant Company","161","Vultr Holdings, LLC","20715","socks4","1","100","3641","3647","2025-11-24T03:54:53.093Z","3889"
"41.76.86.202","elite","AS37209","NG","Hyperia Limited","111","HYP PHC","5678","socks4","1","65","7147","10998","2025-11-24T03:54:53.381Z","3707"
"119.18.158.131","elite","AS55685","ID","PT. Jala Lintas Media","170","N/A","4153","socks4","1","99","3757","3813","2025-11-24T03:54:53.096Z","4791"
"185.74.4.47","elite","AS202660","UZ","\"Uzbektelekom\" Joint Stock Company","95","Uztelecom DC","8080","socks4","1","100","2320","2323","2025-11-24T03:54:53.381Z","4193"
"70.60.230.65","elite","AS11426","US","Spectrum","116","Fastlink Communications Inc","9292","socks4","1","100","4184","4204","2025-11-24T03:54:53.196Z","4689"
"154.201.41.254","elite","AS54801","US","Zillion Network Inc.","150","Zillion Network Inc","3128","socks4","1","100","404","404","2025-11-24T03:54:53.380Z","4578"
"95.213.154.54","elite","AS49505","RU","JSC Selectel","40","N/A","31337","socks4","1","100","3239","3240","2025-11-24T03:54:53.386Z","4413"
"118.174.65.251","elite","AS23969","TH","TOT Public Company Limited","213","TOT Public Company Limited","4145","socks4","1","98","10843","11014","2025-11-24T03:54:53.382Z","1006"
"94.198.55.86","elite","AS56694","RU","LLC Smart Ape","46","SmartApe","2906","socks5","1","100","4198","4204","2025-11-24T03:54:53.196Z","5077"
"185.176.24.174","elite","AS209242","NL","Cloudflare London, LLC","10","Horban Vasyl","80","http","32016","100","4","4","2025-11-24T03:54:53.175Z","3495"
"194.146.42.66","elite","AS202958","KZ","LLP \"Kompaniya Hoster.KZ\"","91","TOO \"Kompaniya Hoster.KZ\"","7497","socks5","1","8","909","10962","2025-11-24T03:54:53.388Z","3283"
"177.125.165.170","elite","AS262346","BR","FP Telecomunicacoes Ltda","214","FP Telecomunicacoes Ltda","4145","socks4","1","70","7693","10980","2025-11-24T03:54:53.380Z","3509"
"14.102.44.1","elite","AS18002","IN","World Phone Internet Services Pvt Ltd","147","N/A","34047","socks4","1","99","3529","3567","2025-11-24T03:54:53.387Z","4421"
"193.29.63.45","elite","AS63473","US","HostHatch LLC","101","HostHatch LLC","57299","socks4","1","77","8482","11072","2025-11-24T03:54:53.385Z","5028"
"61.7.138.171","elite","AS131090","TH","CAT Telecom Public Company Limited","191","National Telecom Public Company Limited","4145","socks4","1","69","7598","10994","2025-11-24T03:54:53.098Z","3995"
"192.210.239.214","elite","AS36352","US","HostPapa","99","N/A","3128","socks4","1","100","2280","2289","2025-11-24T03:54:24.767Z","3711"
"51.178.28.228","elite","AS16276","FR","OVH SAS","15","OVH","9050","socks5","1","15","1681","11037","2025-11-24T03:54:24.766Z","4778"
"195.30.85.37","elite","AS5539","DE","SPACE","9","Serverprofis GmbH","32925","socks4","1","98","2798","2848","2025-11-24T03:54:24.868Z","3716"
"149.20.253.107","elite","AS18615","US","Mainstream Fiber Networks, LLC","103","Mainstream Fiber Networks, LLC","12551","socks4","1","100","10978","10993","2025-11-24T03:54:24.768Z","4220"
"128.140.46.169","elite","AS24940","DE","Hetzner Online GmbH","10","Hetzner Online GmbH","19315","socks4","1","100","737","737","2025-11-24T03:54:24.767Z","4936"
"202.53.172.75","elite","AS23923","BD","Agni Systems Limited","189","Agni Systems Ltd.","5678","socks4","1","56","6221","11032","2025-11-24T03:54:24.765Z","3575"
"103.82.24.124","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","207","Runfly Joint Stock Company","55124","socks4","1","99","2224","2253","2025-11-24T03:54:23.480Z","3916"
"203.24.103.17","elite","AS209242","VG","Cloudflare London, LLC","3","Anaga Consulting Limited","80","socks4","1","100","2511","2514","2025-11-24T03:54:23.486Z","3409"
"177.12.177.2","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","207","Linkli Telecomunicacoes Ltda","4153","socks4","1","100","11008","11040","2025-11-24T03:54:23.381Z","2172"
"172.64.149.167","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","8880","socks4","1","100","3789","3789","2025-11-24T03:54:23.382Z","1415"
"149.248.52.42","elite","AS20473","CA","The Constant Company","318","Vultr Holdings, LLC","11017","socks4","1","100","1932","1934","2025-11-24T03:54:23.380Z","2888"
"103.127.23.10","elite","AS137645","IN","Macro Signal Pvt Ltd","182","Macro Signal Pvt Ltd","5678","socks4","1","98","1003","1020","2025-11-24T03:54:23.381Z","3288"
"23.221.204.221","elite","AS20940","TW","Akamai International, BV","487","Akamai Technologies","1337","socks4","1","100","2043","2049","2025-11-24T03:53:51.384Z","2775"
"91.149.238.216","elite","AS26383","GB","Baxet Group Inc.","15","Baxet Group Inc","1080","socks5","1","80","3299","4129","2025-11-24T03:53:51.593Z","4095"
"180.250.159.49","elite","AS7713","ID","PT. Telekomunikasi Indonesia","180","N/A","4153","socks4","1","97","3855","3976","2025-11-24T03:53:51.193Z","3599"
"194.31.55.41","elite","AS47583","LT","Hostinger International Limited","29","Hostinger International Limited","80","socks4","1","100","10884","10889","2025-11-24T03:53:51.192Z","3694"
"46.221.22.224","elite","AS15924","TR","Borusan Telekom","44","N/A","8080","socks4","1","100","1328","1331","2025-11-24T03:53:51.591Z","4193"
"45.82.65.67","elite","AS49981","NL","WorldStream B.V.","16","Worldstream","32686","socks4","1","82","1956","2378","2025-11-24T03:53:51.663Z","5101"
"103.247.13.178","elite","AS131706","ID","TERABIT","176","N/A","1080","socks5","1","83","9174","11068","2025-11-24T03:53:51.668Z","4691"
"115.144.119.172","elite","AS4766","KR","HAIonNet","281","whitebiz","27988","socks4","1","34","1425","4162","2025-11-24T03:53:51.191Z","1999"
